number	latency	duration	channel	bvtime	type	code	urevent
1.000000	1.000000	1.000000	0.000000	936001496.000000	boundary	New Segment	1.000000
2.000000	590.500000	0.000000			RP		3602.000000
3.000000	1281.000000	0.000000			RP		3603.000000
4.000000	2030.500000	0.000000			RP		3604.000000
5.000000	2830.500000	0.000000			RP		3605.000000
6.000000	3670.000000	0.000000			RP		3606.000000
7.000000	4430.500000	0.000000			RP		3607.000000
8.000000	5229.500000	0.000000			RP		3608.000000
9.000000	5979.500000	0.000000			RP		3609.000000
10.000000	6669.000000	0.000000			RP		3610.000000
11.000000	7329.000000	0.000000			RP		3611.000000
12.000000	8046.500000	0.000000			RP		3612.000000
13.000000	8788.500000	0.000000			RP		3613.000000
14.000000	9568.000000	0.000000			RP		3614.000000
15.000000	10467.500000	0.000000			RP		3615.000000
16.000000	11407.000000	0.000000			RP		3616.000000
17.000000	12287.000000	0.000000			RP		3617.000000
18.000000	13076.500000	0.000000			RP		3618.000000
19.000000	13846.500000	0.000000			RP		3619.000000
20.000000	14624.000000	0.000000			RP		3620.000000
21.000000	15405.500000	0.000000			RP		3621.000000
22.000000	16165.500000	0.000000			RP		3622.000000
23.000000	16905.500000	0.000000			RP		3623.000000
24.000000	17625.000000	0.000000			RP		3624.000000
25.000000	18285.000000	0.000000			RP		3625.000000
26.000000	18885.000000	0.000000			RP		3626.000000
27.000000	19495.000000	0.000000			RP		3627.000000
28.000000	20164.000000	0.000000			RP		3628.000000
29.000000	20984.000000	0.000000			RP		3629.000000
30.000000	21753.500000	0.000000			RP		3630.000000
31.000000	22484.000000	0.000000			RP		3631.000000
32.000000	23322.500000	0.000000			RP		3632.000000
33.000000	24043.000000	0.000000			RP		3633.000000
34.000000	24720.000000	0.000000			RP		3634.000000
35.000000	25422.000000	0.000000			RP		3635.000000
36.000000	26182.000000	0.000000			RP		3636.000000
37.000000	26962.000000	0.000000			RP		3637.000000
38.000000	27741.500000	0.000000			RP		3638.000000
39.000000	28561.000000	0.000000			RP		3639.000000
40.000000	29361.000000	0.000000			RP		3640.000000
41.000000	30081.000000	0.000000			RP		3641.000000
42.000000	30800.500000	0.000000			RP		3642.000000
43.000000	31520.000000	0.000000			RP		3643.000000
44.000000	32260.000000	0.000000			RP		3644.000000
45.000000	33000.000000	0.000000			RP		3645.000000
46.000000	33680.000000	0.000000			RP		3646.000000
47.000000	34379.500000	0.000000			RP		3647.000000
48.000000	35079.500000	0.000000			RP		3648.000000
49.000000	35819.000000	0.000000			RP		3649.000000
50.000000	36558.500000	0.000000			RP		3650.000000
51.000000	37288.000000	0.000000			RP		3651.000000
52.000000	37949.000000	0.000000			RP		3652.000000
53.000000	38599.000000	0.000000			RP		3653.000000
54.000000	39287.500000	0.000000			RP		3654.000000
55.000000	40038.000000	0.000000			RP		3655.000000
56.000000	40767.000000	0.000000			RP		3656.000000
57.000000	41495.500000	0.000000			RP		3657.000000
58.000000	42114.500000	0.000000			RP		3658.000000
59.000000	42816.500000	0.000000			RP		3659.000000
60.000000	43496.500000	0.000000			RP		3660.000000
61.000000	44226.500000	0.000000			RP		3661.000000
62.000000	45016.000000	0.000000			RP		3662.000000
63.000000	45796.000000	0.000000			RP		3663.000000
64.000000	46545.000000	0.000000			RP		3664.000000
65.000000	47275.000000	0.000000			RP		3665.000000
66.000000	47995.500000	0.000000			RP		3666.000000
67.000000	48735.000000	0.000000			RP		3667.000000
68.000000	49455.000000	0.000000			RP		3668.000000
69.000000	50254.500000	0.000000			RP		3669.000000
70.000000	51095.000000	0.000000			RP		3670.000000
71.000000	51934.500000	0.000000			RP		3671.000000
72.000000	52714.500000	0.000000			RP		3672.000000
73.000000	53532.000000	0.000000			RP		3673.000000
74.000000	54324.500000	0.000000			RP		3674.000000
75.000000	55014.500000	0.000000			RP		3675.000000
76.000000	55654.500000	0.000000			RP		3676.000000
77.000000	56294.000000	0.000000			RP		3677.000000
78.000000	56974.000000	0.000000			RP		3678.000000
79.000000	57614.000000	0.000000			RP		3679.000000
80.000000	58273.500000	0.000000			RP		3680.000000
81.000000	59044.000000	0.000000			RP		3681.000000
82.000000	59814.000000	0.000000			RP		3682.000000
83.000000	60553.500000	0.000000			RP		3683.000000
84.000000	61313.500000	0.000000			RP		3684.000000
85.000000	62093.500000	0.000000			RP		3685.000000
86.000000	62911.000000	0.000000			RP		3686.000000
87.000000	63683.000000	0.000000			RP		3687.000000
88.000000	64450.500000	0.000000			RP		3688.000000
89.000000	65213.000000	0.000000			RP		3689.000000
90.000000	65993.000000	0.000000			RP		3690.000000
91.000000	66712.500000	0.000000			RP		3691.000000
92.000000	67432.500000	0.000000			RP		3692.000000
93.000000	68312.000000	0.000000			RP		3693.000000
94.000000	69182.000000	0.000000			RP		3694.000000
95.000000	70039.500000	0.000000			RP		3695.000000
96.000000	70851.500000	0.000000			RP		3696.000000
97.000000	71612.000000	0.000000			RP		3697.000000
98.000000	72361.500000	0.000000			RP		3698.000000
99.000000	73121.000000	0.000000			RP		3699.000000
100.000000	73811.000000	0.000000			RP		3700.000000
101.000000	74481.000000	0.000000			RP		3701.000000
102.000000	75171.000000	0.000000			RP		3702.000000
103.000000	75930.500000	0.000000			RP		3703.000000
104.000000	76791.000000	0.000000			RP		3704.000000
105.000000	77670.500000	0.000000			RP		3705.000000
106.000000	78480.500000	0.000000			RP		3706.000000
107.000000	79290.000000	0.000000			RP		3707.000000
108.000000	80050.000000	0.000000			RP		3708.000000
109.000000	80710.000000	0.000000			RP		3709.000000
110.000000	81350.500000	0.000000			RP		3710.000000
111.000000	82050.000000	0.000000			RP		3711.000000
112.000000	82870.000000	0.000000			RP		3712.000000
113.000000	83690.000000	0.000000			RP		3713.000000
114.000000	84529.500000	0.000000			RP		3714.000000
115.000000	85428.000000	0.000000			RP		3715.000000
116.000000	86320.000000	0.000000			RP		3716.000000
117.000000	87150.000000	0.000000			RP		3717.000000
118.000000	87900.000000	0.000000			RP		3718.000000
119.000000	88620.000000	0.000000			RP		3719.000000
120.000000	89309.500000	0.000000			RP		3720.000000
121.000000	89960.000000	0.000000			RP		3721.000000
122.000000	90560.000000	0.000000			RP		3722.000000
123.000000	91160.000000	0.000000			RP		3723.000000
