***SESSION HEADER***
{
  "Participant": "S02",
  "Timestamp": "11-27-18-22-02-2019"
}
---SESSION HEADER---
Timestamp;Trial;Round;Training;Phase;PhaseLenght;Stimulus;FearObject;BigObject;RealDistance;EstimatedDistance;HeadsetPosition;HeadsetRotation;ControllerPosition;ControllerRotation;EstimatedPosition;TruePosition;AngleErrDeg;
345.7423;0;0;False;Rating;0.000;Rabbit;False;False;2.3860;0.0000;(-0.0207, 1.1205, -7.1982);(-0.0055, 0.0495, -0.0135, 0.9987);(-0.0262, 0.5507, -6.8660);(-0.0495, 0.0087, -0.0099, 0.9987);(0.0000, 0.0000, 0.0000);(0.1717, 0.0000, 2.3798);0.0000;
355.4926;0;0;False;RatingInit;9.751;Rabbit;False;False;2.3860;0.0000;(-0.0192, 1.1033, -7.1807);(0.1096, 0.0511, 0.0024, 0.9927);(-0.0256, 0.5517, -6.8660);(-0.0525, 0.0083, -0.0098, 0.9985);(0.0000, 0.0000, 0.0000);(0.1717, 0.0000, 2.3798);0.0000;
403.6996;0;0;False;Rating;0.000;Rabbit;False;False;4.7331;0.0000;(-0.0169, 1.1187, -7.1877);(-0.0040, 0.0677, -0.0126, 0.9976);(-0.0252, 0.5500, -6.8648);(-0.0461, 0.0105, -0.0149, 0.9988);(0.0000, 0.0000, 0.0000);(-1.1459, 0.0000, 4.5923);0.0000;
409.0610;1;0;True;TrainInit;5.361;empty;empty;empty;7.0000;0.0000;(-0.0139, 1.1264, -7.2073);(-0.0388, 0.0663, -0.0137, 0.9970);(-0.0249, 0.5513, -6.8658);(-0.0484, 0.0093, -0.0137, 0.9987);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, -7.0000);0.0000;
410.7029;1;0;True;Focus;1.642;empty;empty;empty;7.0000;0.0000;(-0.0171, 1.1230, -7.2031);(-0.0134, 0.0591, -0.0031, 0.9982);(-0.0248, 0.5511, -6.8659);(-0.0483, 0.0092, -0.0136, 0.9987);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, -7.0000);0.0000;
410.7140;1;0;True;BeforeFade;0.011;FinalWolf;True;False;4.2135;0.0000;(-0.0171, 1.1230, -7.2031);(-0.0134, 0.0592, -0.0030, 0.9982);(-0.0247, 0.5511, -6.8659);(-0.0482, 0.0092, -0.0135, 0.9987);(0.0000, 0.0000, 0.0000);(-0.8190, 0.0000, 4.1331);0.0000;
410.8143;1;0;True;Stimuli;0.100;FinalWolf;True;False;4.2135;0.0000;(-0.0175, 1.1230, -7.2030);(-0.0132, 0.0589, -0.0023, 0.9982);(-0.0248, 0.5510, -6.8660);(-0.0481, 0.0093, -0.0134, 0.9987);(0.0000, 0.0000, 0.0000);(-0.8190, 0.0000, 4.1331);0.0000;
411.8197;1;0;True;AfterFade;1.005;FinalWolf;True;False;4.2135;0.0000;(-0.0193, 1.1223, -7.2024);(-0.0073, 0.0565, 0.0002, 0.9984);(-0.0250, 0.5511, -6.8663);(-0.0480, 0.0097, -0.0132, 0.9987);(0.0000, 0.0000, 0.0000);(-0.8190, 0.0000, 4.1331);0.0000;
419.0691;1;0;True;Estimation;7.249;FinalWolf;True;False;4.2135;13.7653;(-0.0281, 1.1187, -7.2094);(0.0240, 0.0339, 0.0081, 0.9991);(-0.0458, 0.7781, -6.9255);(-0.2440, -0.0855, -0.0537, 0.9645);(-2.0962, 0.0000, 13.6047);(-0.8190, 0.0000, 4.1331);2.4493;
420.7779;2;0;True;Focus;1.709;empty;empty;empty;7.0000;0.0000;(-0.0278, 1.1203, -7.2086);(0.0104, 0.0345, 0.0067, 0.9993);(0.0090, 0.8043, -6.9421);(-0.3565, 0.0488, -0.0881, 0.9288);(-2.0962, 0.0000, 13.6047);(0.0000, 0.0000, -7.0000);2.4493;
420.7886;2;0;True;BeforeFade;0.011;Crocodile;True;True;3.9436;0.0000;(-0.0278, 1.1204, -7.2086);(0.0104, 0.0346, 0.0066, 0.9993);(0.0092, 0.8044, -6.9422);(-0.3568, 0.0493, -0.0881, 0.9287);(-2.0962, 0.0000, 13.6047);(-0.7594, 0.0000, 3.8698);2.4493;
420.8893;2;0;True;Stimuli;0.101;Crocodile;True;True;3.9436;0.0000;(-0.0268, 1.1203, -7.2089);(0.0102, 0.0356, 0.0058, 0.9993);(0.0114, 0.8024, -6.9421);(-0.3551, 0.0522, -0.0885, 0.9292);(-2.0962, 0.0000, 13.6047);(-0.7594, 0.0000, 3.8698);2.4493;
421.8943;2;0;True;AfterFade;1.005;Crocodile;True;True;3.9436;0.0000;(-0.0263, 1.1206, -7.2086);(0.0077, 0.0363, 0.0048, 0.9993);(0.0048, 0.8196, -6.9631);(-0.4323, 0.0435, -0.0530, 0.8991);(-2.0962, 0.0000, 13.6047);(-0.7594, 0.0000, 3.8698);2.4493;
426.9205;2;0;True;Estimation;5.026;Crocodile;True;True;3.9436;2.8561;(-0.0273, 1.1181, -7.2041);(0.0254, 0.0635, 0.0098, 0.9976);(0.0660, 0.6758, -6.8742);(0.0642, 0.1124, -0.1113, 0.9853);(0.6389, 0.0000, 2.7837);(-0.7594, 0.0000, 3.8698);24.0288;
428.7634;3;0;True;Focus;1.843;empty;empty;empty;7.0000;0.0000;(-0.0275, 1.1192, -7.2057);(0.0163, 0.0580, 0.0113, 0.9981);(-0.0262, 0.7626, -6.9596);(-0.1248, -0.0289, -0.0534, 0.9903);(0.6389, 0.0000, 2.7837);(0.0000, 0.0000, -7.0000);24.0288;
