***SESSION HEADER***
{
  "Participant": "S22",
  "Timestamp": "16-00-34-19-02-2019"
}
---SESSION HEADER---
Timestamp;Trial;Round;Training;Phase;PhaseLenght;Stimulus;FearObject;BigObject;RealDistance;EstimatedDistance;HeadsetPosition;HeadsetRotation;ControllerPosition;ControllerRotation;EstimatedPosition;TruePosition;
374.2315;0;0;False;Rating;0.000;FinalWolf;True;False;3.8202;0.0000;(-0.0019, 1.1430, -7.1448);(-0.0414, 0.0417, -0.0344, 0.9977);(0.1377, 0.6375, -6.7392);(-0.2274, 0.1541, -0.0604, 0.9596);(0.0000, 0.0000, 0.0000);(-0.4357, 0.0000, 3.7953);
381.5916;0;0;False;RatingInit;7.361;FinalWolf;True;False;3.8202;0.0000;(-0.0014, 1.1411, -7.1432);(-0.0293, 0.0453, -0.0322, 0.9980);(0.1363, 0.6373, -6.7388);(-0.2271, 0.1510, -0.0551, 0.9605);(0.0000, 0.0000, 0.0000);(-0.4357, 0.0000, 3.7953);
437.7066;0;0;False;Rating;0.000;FinalWolf;True;False;2.4270;0.0000;(0.0004, 1.1409, -7.1416);(-0.0305, 0.0492, -0.0353, 0.9977);(0.1336, 0.6364, -6.7383);(-0.2164, 0.1500, -0.0567, 0.9630);(0.0000, 0.0000, 0.0000);(0.0444, 0.0000, 2.4265);
441.8842;1;0;True;TrainInit;4.177;empty;empty;empty;7.0000;0.0000;(0.0119, 1.1326, -7.1371);(0.0183, 0.0840, -0.0490, 0.9951);(0.0991, 0.9137, -6.7342);(-0.4408, 0.0771, -0.0055, 0.8943);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, -7.0000);
443.5257;1;0;True;Focus;1.642;empty;empty;empty;7.0000;0.0000;(0.0113, 1.1280, -7.1345);(0.0506, 0.1011, -0.0485, 0.9924);(0.0907, 0.9862, -6.7465);(-0.5046, 0.0091, -0.0332, 0.8627);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, -7.0000);
443.5367;1;0;True;BeforeFade;0.011;Rabbit;False;False;1.5250;0.0000;(0.0113, 1.1280, -7.1345);(0.0504, 0.1009, -0.0486, 0.9924);(0.0910, 0.9861, -6.7462);(-0.5038, 0.0088, -0.0337, 0.8631);(0.0000, 0.0000, 0.0000);(-0.3588, 0.0000, 1.4822);
443.6374;1;0;True;Stimuli;0.101;Rabbit;False;False;1.5250;0.0000;(0.0106, 1.1283, -7.1352);(0.0494, 0.1011, -0.0477, 0.9925);(0.0908, 0.9863, -6.7461);(-0.5046, 0.0079, -0.0355, 0.8626);(0.0000, 0.0000, 0.0000);(-0.3588, 0.0000, 1.4822);
444.6423;1;0;True;AfterFade;1.005;Rabbit;False;False;1.5250;0.0000;(0.0095, 1.1292, -7.1363);(0.0453, 0.0925, -0.0463, 0.9936);(0.1059, 0.9804, -6.7452);(-0.5010, 0.0222, -0.0500, 0.8637);(0.0000, 0.0000, 0.0000);(-0.3588, 0.0000, 1.4822);
456.6057;1;0;True;Estimation;11.963;Rabbit;False;False;1.5250;12.8401;(-0.0082, 1.0951, -7.0887);(0.2026, 0.0311, -0.0401, 0.9780);(0.0938, 0.6373, -6.9209);(0.1792, -0.1033, -0.2278, 0.9515);(-1.2637, 0.0000, 5.7778);(-0.3588, 0.0000, 1.4822);
458.4592;2;0;True;Focus;1.854;empty;empty;empty;7.0000;0.0000;(-0.0116, 1.1159, -7.1036);(0.1056, 0.0263, -0.0280, 0.9937);(0.0873, 0.6437, -6.9173);(0.1559, -0.1105, -0.2290, 0.9545);(-1.2637, 0.0000, 5.7778);(0.0000, 0.0000, -7.0000);
